--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
008 WARTORTLE  : Clamp at level 1, Uproar at level 1, ViceGrip at level 1, Water Pulse at level 1, Octazooka at level 4, BubbleBeam at level 7, Brine at level 10, Dive at level 13, Spit Up at level 16, Crabhammer at level 20, Aqua Tail at level 24, Thrash at level 28, Stone Edge at level 32, Heat Wave at level 36, Hydro Pump at level 40, Hydro Cannon at level 44, Water Spout at level 48
009 BLASTOISE  : Barrage at level 1, Water Pulse at level 1, BubbleBeam at level 1, Withdraw at level 1, Brine at level 1, Headbutt at level 4, Secret Power at level 7, Razor Wind at level 10, Tri Attack at level 13, Take Down at level 16, Aqua Tail at level 20, Natural Gift at level 24, Psychic at level 28, Water Sport at level 32, Skull Bash at level 39, Hydro Pump at level 46, Nasty Plot at level 53, Water Spout at level 60
010 CATERPIE   : Bug Bite at level 1, Silver Wind at level 1, Hail at level 1, U-turn at level 1, Signal Beam at level 15
011 METAPOD    : ViceGrip at level 1, Bug Bite at level 1, Lucky Chant at level 1, X-Scissor at level 1, Hyper Voice at level 7
012 BUTTERFREE : Fury Cutter at level 1, Peck at level 1, Gust at level 1, Silver Wind at level 1, Bug Bite at level 10, Pluck at level 12, Bone Club at level 12, U-turn at level 12, Air Slash at level 16, Signal Beam at level 18, X-Scissor at level 22, Petal Dance at level 24, Bug Buzz at level 28, FeatherDance at level 30, Attack Order at level 34, Megahorn at level 36, Sky Attack at level 40
013 WEEDLE     : Smog at level 1, Sludge at level 1, Signal Beam at level 1, Attack Order at level 1, Zap Cannon at level 15
014 KAKUNA     : Bug Bite at level 1, Spark at level 1, Mega Kick at level 1, Gunk Shot at level 1, Toxic Spikes at level 7
015 BEEDRILL   : Gastro Acid at level 1, Poison Tail at level 1, Silver Wind at level 1, Bug Bite at level 1, Spider Web at level 10, Cross Poison at level 13, Signal Beam at level 16, Heal Order at level 19, X-Scissor at level 22, Poison Jab at level 25, Attack Order at level 28, Acid Armor at level 31, Sludge Bomb at level 34, Megahorn at level 37, String Shot at level 40
016 PIDGEY     : Weather Ball at level 1, Air Cutter at level 1, Pluck at level 1, Wing Attack at level 1, Chatter at level 5, Stomp at level 9, Horn Attack at level 13, Dizzy Punch at level 17, Air Slash at level 21, Tri Attack at level 25, Earth Power at level 29, Aeroblast at level 33, Roost at level 37, Brave Bird at level 41, Mega Kick at level 45, Sky Attack at level 49
017 PIDGEOTTO  : Horn Drill at level 1, Odor Sleuth at level 1, Peck at level 1, Gust at level 1, Wing Attack at level 5, Aerial Ace at level 9, Water Pulse at level 13, Headbutt at level 17, Crush Claw at level 22, Drill Peck at level 27, Razor Wind at level 32, Roost at level 37, Aeroblast at level 42, Brave Bird at level 47, Mega Kick at level 52, Giga Impact at level 57
018 PIDGEOT    : Air Cutter at level 1, Wing Attack at level 1, Pluck at level 1, Chatter at level 1, Softboiled at level 5, Encore at level 9, SmellingSalt at level 13, AncientPower at level 17, Headbutt at level 22, Air Slash at level 27, Lava Plume at level 32, Aeroblast at level 38, Brave Bird at level 44, Roost at level 50, Sky Attack at level 56, Giga Impact at level 62
019 RATTATA    : Rapid Spin at level 1, Uproar at level 1, Force Palm at level 1, SmellingSalt at level 1, Horn Attack at level 4, Copycat at level 7, Attract at level 10, Stomp at level 13, Sketch at level 16, Cross Poison at level 19, Flash at level 22, Slash at level 25, Hyper Fang at level 28, Close Combat at level 31, Explosion at level 34
020 RATICATE   : ViceGrip at level 1, Fire Fang at level 1, Horn Drill at level 1, Hidden Power at level 1, Slash at level 1, Crush Grip at level 4, Facade at level 7, Tickle at level 10, Haze at level 13, Crush Claw at level 16, ExtremeSpeed at level 19, Thrash at level 20, Judgment at level 24, Double-Edge at level 29, Camouflage at level 34, Baton Pass at level 39, Hyper Beam at level 44
021 SPEAROW    : ViceGrip at level 1, Double Team at level 1, Wing Attack at level 1, Aerial Ace at level 1, Mirror Move at level 5, Steel Wing at level 9, Facade at level 13, Air Slash at level 17, Razor Wind at level 21, Hammer Arm at level 25, Horn Drill at level 29, Skull Bash at level 33, Brave Bird at level 37
022 FEAROW     : FeatherDance at level 1, Tail Whip at level 1, Air Cutter at level 1, Pluck at level 1, Wing Attack at level 1, Chatter at level 5, Secret Power at level 9, Air Slash at level 13, Drill Peck at level 17, Flash at level 23, Hyper Voice at level 29, Recover at level 35, Brave Bird at level 41, Mirror Move at level 47
023 EKANS      : Smog at level 1, Acid at level 1, Poison Fang at level 1, Sludge at level 1, Cross Poison at level 4, Brick Break at level 9, Hyper Fang at level 12, Poison Jab at level 17, Body Slam at level 20, Scary Face at level 25, PoisonPowder at level 25, Swords Dance at level 25, Sludge Bomb at level 28, Hyper Voice at level 33, Gunk Shot at level 36, Outrage at level 41
024 ARBOK      : Acid at level 1, Endeavor at level 1, Poison Fang at level 1, Bite at level 1, Sludge at level 1, Acid Armor at level 1, Cross Poison at level 1, Headbutt at level 4, Poison Gas at level 9, Crush Claw at level 12, Ice Punch at level 17, Charm at level 20, Poison Jab at level 22, Seed Bomb at level 28, Sludge Bomb at level 28, Haze at level 28, Attack Order at level 34, Hyper Voice at level 42, Toxic at level 48, Gunk Shot at level 56
025 PIKACHU    : Charge Beam at level 1, Spark at level 1, Thunder Fang at level 1, Slash at level 1, Night Slash at level 5, Ice Punch at level 10, ThunderPunch at level 13, Hyper Fang at level 18, Discharge at level 21, SmokeScreen at level 26, Thunderbolt at level 29, Thunder at level 34, Volt Tackle at level 37, Zap Cannon at level 42, Psycho Boost at level 45
026 RAICHU     : Charge Beam at level 1, Thunder Fang at level 1, Thunder at level 1, Volt Tackle at level 1
027 SANDSHREW  : Mud-Slap at level 1, Poison Fang at level 1, Weather Ball at level 1, ViceGrip at level 1, Mud Shot at level 3, ExtremeSpeed at level 7, Dig at level 9, Earth Power at level 13, Attack Order at level 15, Spikes at level 19, Dragon Pulse at level 21, Natural Gift at level 25, Earthquake at level 27, Magnitude at level 31, Sketch at level 33, Bonemerang at level 37
028 SANDSLASH  : Sand Tomb at level 1, Mud Shot at level 1, Bug Bite at level 1, Fire Fang at level 1, X-Scissor at level 3, Dig at level 7, Earth Power at level 9, Magnitude at level 13, Earthquake at level 15, Meteor Mash at level 19, Sketch at level 21, Sand-Attack at level 22, Bonemerang at level 28, Mega Kick at level 33, Sky Attack at level 40, Spikes at level 45, Mud Sport at level 52
029 NIDORAN♀   : Poison Sting at level 1, Poison Fang at level 1, Poison Tail at level 1, Sludge at level 1, Cross Poison at level 7, Poison Jab at level 9, ExtremeSpeed at level 13, Extrasensory at level 19, Block at level 21, Razor Wind at level 25, Sludge Bomb at level 31, Gunk Shot at level 33, Seed Flare at level 37, Gyro Ball at level 43, Mega Kick at level 45
030 NIDORINA   : Poison Sting at level 1, Poison Tail at level 1, Poison Fang at level 1, Sludge at level 1, Cross Poison at level 7, Tri Attack at level 9, Poison Jab at level 13, Jump Kick at level 20, Sludge Bomb at level 23, PoisonPowder at level 28, Aeroblast at level 35, Foresight at level 38, DynamicPunch at level 43, Gunk Shot at level 50, Frenzy Plant at level 58
031 NIDOQUEEN  : Poison Tail at level 1, Poison Gas at level 1, Bone Club at level 1, Cross Poison at level 1, Bone Rush at level 23, Dig at level 43, Hi Jump Kick at level 58
032 NIDORAN♂   : Poison Tail at level 1, Poison Fang at level 1, Mean Look at level 1, ViceGrip at level 1, Poison Gas at level 7, Aurora Beam at level 9, Sludge at level 13, Toxic at level 19, Cross Poison at level 21, Headbutt at level 25, Air Slash at level 31, Poison Jab at level 33, Sludge Bomb at level 37, Gunk Shot at level 43, Draco Meteor at level 45
033 NIDORINO   : Swords Dance at level 1, Smog at level 1, Poison Fang at level 1, Poison Tail at level 1, Horn Attack at level 7, Sludge at level 9, Cross Poison at level 13, Toxic at level 20, Facade at level 23, Poison Jab at level 28, Poison Gas at level 35, Sludge Bomb at level 38, Flamethrower at level 43, Gunk Shot at level 50, Giga Impact at level 58
034 NIDOKING   : Acid Armor at level 1, Poison Tail at level 1, DragonBreath at level 1, Stomp at level 1, Cross Poison at level 23, Poison Jab at level 43, Stone Edge at level 58
035 CLEFAIRY   : Nature Power at level 1, Fake Out at level 1, Weather Ball at level 1, Horn Attack at level 1, Stomp at level 4, Mean Look at level 7, Dizzy Punch at level 10, Headbutt at level 13, Crush Claw at level 16, Hyper Fang at level 19, Dragon Claw at level 22, Razor Wind at level 25, Tri Attack at level 28, Body Slam at level 31, Petal Dance at level 34, Flail at level 37, Encore at level 40, Flare Blitz at level 43, Giga Impact at level 46
036 CLEFABLE   : Secret Power at level 1, Facade at level 1, ExtremeSpeed at level 1, Egg Bomb at level 1
037 VULPIX     : Revenge at level 1, Wing Attack at level 1, Flame Wheel at level 1, Stomp at level 1, Scary Face at level 4, Slash at level 7, Lava Plume at level 11, Blaze Kick at level 14, Body Slam at level 17, Flamethrower at level 21, Sleep Powder at level 24, Heat Wave at level 27, Magma Storm at level 31, Will-O-Wisp at level 34, Fire Blast at level 37, Hydro Pump at level 41, Overheat at level 44, Blast Burn at level 47
038 NINETALES  : Flame Wheel at level 1, Fire Fang at level 1, Lava Plume at level 1, Magma Storm at level 1, Outrage at level 1
039 JIGGLYPUFF : Charge Beam at level 1, Stomp at level 1, Spikes at level 1, Headbutt at level 1, Tri Attack at level 5, Zen Headbutt at level 9, Horn Drill at level 13, Perish Song at level 17, Dark Pulse at level 21, ExtremeSpeed at level 25, Thrash at level 29, Metal Sound at level 33, Hyper Voice at level 37, Endeavor at level 41, Double-Edge at level 45, Giga Impact at level 49
040 WIGGLYTUFF : Horn Attack at level 1, Crush Claw at level 1, Horn Drill at level 1, Double-Edge at level 1
041 ZUBAT      : Smog at level 1, Poison Tail at level 1, Aerial Ace at level 1, Sludge at level 1, Tailwind at level 5, Cross Poison at level 9, Air Slash at level 13, Sludge Bomb at level 17, Aeroblast at level 21, Toxic Spikes at level 25, Gunk Shot at level 29, Conversion at level 33, Zap Cannon at level 37, PoisonPowder at level 41
042 GOLBAT     : Poison Tail at level 1, Wing Attack at level 1, Cross Poison at level 1, Air Slash at level 1, Gastro Acid at level 5, Discharge at level 9, Wish at level 13, Poison Jab at level 17, Sky Uppercut at level 21, Slack Off at level 27, Bounce at level 33, Sludge Bomb at level 39, Aeroblast at level 45, Gunk Shot at level 51
043 ODDISH     : GrassWhistle at level 1, Acid at level 1, Rock Throw at level 1, Razor Leaf at level 1, Giga Drain at level 5, Needle Arm at level 9, Secret Power at level 13, U-turn at level 15, Energy Ball at level 17, Worry Seed at level 21, Seed Bomb at level 25, Poison Jab at level 29, Leaf Blade at level 33, SolarBeam at level 37, Leaf Storm at level 41
044 GLOOM      : Poison Tail at level 1, Aromatherapy at level 1, Razor Leaf at level 1, Sludge at level 1, Cross Poison at level 5, Mist Ball at level 9, Seed Bomb at level 13, Poison Jab at level 15, Energy Ball at level 17, Sludge Bomb at level 23, Leaf Blade at level 29, Megahorn at level 35, Gunk Shot at level 41, Seed Flare at level 47, Frenzy Plant at level 53
045 VILEPLUME  : Acid at level 1, Poison Tail at level 1, Giga Drain at level 1, Energy Ball at level 1, SolarBeam at level 53, Frustration at level 65
046 PARAS      : Silver Wind at level 1, Needle Arm at level 1, Bug Bite at level 1, Giga Drain at level 1, Headbutt at level 6, U-turn at level 6, Iron Head at level 11, X-Scissor at level 17, Attack Order at level 22, Leaf Blade at level 27, Hammer Arm at level 33, Flare Blitz at level 38, Frenzy Plant at level 43
047 PARASECT   : Vine Whip at level 1, Whirlwind at level 1, Pin Missile at level 1, Uproar at level 1, Razor Leaf at level 1, Silver Wind at level 6, Wing Attack at level 6, Bug Bite at level 11, Needle Arm at level 17, Aurora Beam at level 22, X-Scissor at level 30, Attack Order at level 39, Petal Dance at level 47, Megahorn at level 55
048 VENONAT    : Heal Order at level 1, Poison Tail at level 1, Avalanche at level 1, Bug Bite at level 1, Silver Wind at level 5, Sludge at level 11, U-turn at level 13, Cross Poison at level 17, Signal Beam at level 23, Iron Head at level 25, X-Scissor at level 29, Attack Order at level 35, Bug Buzz at level 37, Judgment at level 41, Megahorn at level 47
049 VENOMOTH   : Poison Sting at level 1, Pin Missile at level 1, Acid Armor at level 1, Poison Tail at level 1, Silver Wind at level 1, Bug Bite at level 5, Cross Poison at level 11, Signal Beam at level 13, ThunderPunch at level 17, X-Scissor at level 23, Sludge Bomb at level 25, Attack Order at level 29, Bug Buzz at level 31, Megahorn at level 37, Spider Web at level 41, Gunk Shot at level 47, String Shot at level 55, Double-Edge at level 59
050 DIGLETT    : Sand Tomb at level 1, Fissure at level 1, Mud Shot at level 1, Chatter at level 1, Bone Club at level 4, Horn Attack at level 7, Crush Claw at level 12, Dig at level 15, Earth Power at level 18, Bonemerang at level 23, Earthquake at level 26, Volt Tackle at level 29, Mind Reader at level 34, Magnitude at level 37, Draco Meteor at level 40
051 DUGTRIO    : Mud Shot at level 1, Sleep Talk at level 1, Bone Club at level 1, Sludge at level 1, Bone Rush at level 1, Razor Wind at level 4, Dragon Claw at level 7, Dig at level 12, ExtremeSpeed at level 15, Earth Power at level 18, Dragon Pulse at level 23, Sand-Attack at level 26, Bonemerang at level 28, Earthquake at level 33, Wood Hammer at level 40, Disable at level 45, Psycho Boost at level 50
052 MEOWTH     : Captivate at level 1, ViceGrip at level 1, Protect at level 1, Swift at level 1, Wake-Up Slap at level 6, Stomp at level 9, Dizzy Punch at level 14, Dragon Claw at level 17, Body Slam at level 22, Hyper Voice at level 25, Swallow at level 30, Glare at level 33, Skull Bash at level 38, Judgment at level 41, Egg Bomb at level 46, Double-Edge at level 49, Hyper Beam at level 54
053 PERSIAN    : Razor Leaf at level 1, Encore at level 1, SmellingSalt at level 1, Sharpen at level 1, Stomp at level 1, Slash at level 6, Secret Power at level 9, Crush Claw at level 14, Hyper Fang at level 17, Horn Drill at level 22, Extrasensory at level 25, Tri Attack at level 32, Body Slam at level 37, Flamethrower at level 44, Brave Bird at level 49, Giga Impact at level 56, Frenzy Plant at level 61, Wish at level 68
054 PSYDUCK    : Aqua Jet at level 1, Captivate at level 1, Water Gun at level 1, Water Pulse at level 1, BubbleBeam at level 5, Secret Power at level 9, ExtremeSpeed at level 14, Imprison at level 18, Thrash at level 22, Aqua Tail at level 27, Gunk Shot at level 31, Hydro Pump at level 35, Stealth Rock at level 40, Water Spout at level 44, Blast Burn at level 48
055 GOLDUCK    : Water Pulse at level 1, Bug Bite at level 1, BubbleBeam at level 1, Brine at level 1, Slash at level 1, Tri Attack at level 5, Water Sport at level 9, Dive at level 14, Bounce at level 18, Body Slam at level 22, Aqua Tail at level 27, Close Combat at level 31, Hydro Pump at level 37, Brave Bird at level 44, Water Spout at level 50, Hydro Cannon at level 56
056 MANKEY     : Vacuum Wave at level 1, Karate Chop at level 1, Wing Attack at level 1, Drain Punch at level 1, Stomp at level 1, Brick Break at level 9, Poison Jab at level 13, Bulk Up at level 17, Body Slam at level 21, Jump Kick at level 25, Cross Chop at level 33, DynamicPunch at level 37, Hammer Arm at level 41, Focus Blast at level 45, Superpower at level 49
057 PRIMEAPE   : Confusion at level 1, Rock Throw at level 1, Force Palm at level 1, Wake-Up Slap at level 1, Revenge at level 1, Dizzy Punch at level 9, Detect at level 13, Brick Break at level 17, Dive at level 21, Psycho Shift at level 25, Synthesis at level 28, Cross Chop at level 35, Bulk Up at level 41, Superpower at level 47, Focus Blast at level 53, Close Combat at level 59
058 GROWLITHE  : Seismic Toss at level 1, Fire Spin at level 1, Ember at level 1, Weather Ball at level 1, Flame Wheel at level 6, Fire Fang at level 9, Sleep Powder at level 14, Fire Punch at level 17, Lava Plume at level 20, Seed Bomb at level 25, Extrasensory at level 28, Blaze Kick at level 31, Flamethrower at level 34, Magma Storm at level 39, Fire Blast at level 42, Flare Blitz at level 45, Eruption at level 48
059 ARCANINE   : Spark at level 1, Fire Fang at level 1, U-turn at level 1, Fire Punch at level 1, Mega Kick at level 1, Magma Storm at level 39
060 POLIWAG    : Aqua Jet at level 1, Water Sport at level 1, Water Pulse at level 1, BubbleBeam at level 1, Brine at level 5, Secret Power at level 8, Thunder Wave at level 11, Moonlight at level 15, Dive at level 18, Aqua Tail at level 21, Judgment at level 25, Hydro Pump at level 28, Hydro Cannon at level 31, Grudge at level 35, Rain Dance at level 38, Water Spout at level 41
061 POLIWHIRL  : Camouflage at level 1, Constrict at level 1, SmokeScreen at level 1, Bubble at level 1, Ominous Wind at level 5, Water Pulse at level 8, Giga Drain at level 11, Brine at level 15, BubbleBeam at level 18, Dive at level 21, Crabhammer at level 27, Aqua Tail at level 32, Hyper Voice at level 37, Sacred Fire at level 43, Double-Edge at level 48, Water Spout at level 53
062 POLIWRATH  : Whirlpool at level 1, Poison Gas at level 1, Revenge at level 1, Submission at level 1, Muddy Water at level 43, Hydro Pump at level 53
063 ABRA       : Stomp at level 1, Gravity at level 1, Extrasensory at level 1, Psychic at level 1
064 KADABRA    : SmellingSalt at level 1, Teleport at level 1, Stomp at level 1, Secret Power at level 1, Psycho Cut at level 16, Luster Purge at level 18, Dizzy Punch at level 22, Crush Grip at level 24, Zen Headbutt at level 28, Body Slam at level 30, Reflect at level 34, Supersonic at level 36, Power Whip at level 40, Outrage at level 42, Heart Swap at level 46
065 ALAKAZAM   : Confusion at level 1, Facade at level 1, Psycho Cut at level 1, Mist Ball at level 1, Psywave at level 16, Trick Room at level 18, Extrasensory at level 22, Thrash at level 24, Flamethrower at level 28, Skull Bash at level 30, Amnesia at level 34, Horn Drill at level 36, Psycho Boost at level 40, Kinesis at level 42, Giga Impact at level 46
066 MACHOP     : Arm Thrust at level 1, Force Palm at level 1, Drain Punch at level 1, Jump Kick at level 1, Sky Uppercut at level 7, Reversal at level 10, DynamicPunch at level 13, Belly Drum at level 19, Worry Seed at level 22, Foresight at level 25, Cross Chop at level 31, Counter at level 34, Hammer Arm at level 37, Focus Blast at level 43, Close Combat at level 46
067 MACHOKE    : False Swipe at level 1, Uproar at level 1, Karate Chop at level 1, Drain Punch at level 1, Wake-Up Slap at level 7, Revenge at level 10, Brick Break at level 13, Air Slash at level 19, Energy Ball at level 22, Sky Uppercut at level 25, Hi Jump Kick at level 32, Outrage at level 36, Magnitude at level 40, Focus Blast at level 44, Close Combat at level 51
068 MACHAMP    : Triple Kick at level 1, Poison Fang at level 1, Karate Chop at level 1, Revenge at level 1, Drain Punch at level 7, Force Palm at level 10, Brick Break at level 13, Jump Kick at level 19, Aura Sphere at level 22, Hammer Arm at level 25, Reversal at level 32, Close Combat at level 36, Focus Blast at level 40, Giga Impact at level 44, Blast Burn at level 51
069 BELLSPROUT : Poison Fang at level 1, Razor Leaf at level 1, Cross Poison at level 1, Tri Attack at level 1, PoisonPowder at level 7, Energy Ball at level 11, Poison Jab at level 13, Seed Bomb at level 15, Poison Gas at level 17, Ingrain at level 23, Sleep Powder at level 27, Leaf Blade at level 29, Sludge Bomb at level 35, Wood Hammer at level 39, Leaf Storm at level 41, GrassWhistle at level 47
070 WEEPINBELL : Acid at level 1, Mega Drain at level 1, Poison Tail at level 1, Needle Arm at level 1, Giga Drain at level 7, Sludge at level 11, Ingrain at level 13, Cross Poison at level 15, Seed Bomb at level 17, Poison Jab at level 23, Sludge Bomb at level 27, Petal Dance at level 29, Wood Hammer at level 35, Volt Tackle at level 39, Power Whip at level 41, Seed Flare at level 47
071 VICTREEBEL : Poison Fang at level 1, Giga Drain at level 1, Needle Arm at level 1, Seed Bomb at level 1, Energy Ball at level 1, Leaf Blade at level 1, Sludge Bomb at level 1, Gunk Shot at level 47, Frenzy Plant at level 47
072 TENTACOOL  : Bubble at level 1, Poison Tail at level 1, Poison Fang at level 1, Avalanche at level 1, Whirlwind at level 5, Sludge at level 8, Brine at level 12, Facade at level 15, Cross Poison at level 19, Poison Jab at level 22, Toxic at level 26, Discharge at level 29, Aqua Tail at level 33, Sludge Bomb at level 36, Gunk Shot at level 40, Water Spout at level 43
073 TENTACRUEL : Aqua Jet at level 1, Poison Fang at level 1, SmellingSalt at level 1, BubbleBeam at level 1, Hyper Fang at level 5, Poison Jab at level 8, Sludge Bomb at level 12, Crabhammer at level 15, Aqua Tail at level 19, Shadow Force at level 22, Thunder at level 26, Guillotine at level 29, Hydro Pump at level 36, Gunk Shot at level 42, Hydro Cannon at level 49, Hyper Beam at level 55
074 GEODUDE    : Rock Throw at level 1, Rock Tomb at level 1, AncientPower at level 1, Needle Arm at level 1, Dizzy Punch at level 4, Power Gem at level 8, Rock Slide at level 11, Poison Jab at level 15, Earth Power at level 18, Hi Jump Kick at level 22, Mud Sport at level 25, Stone Edge at level 29, Shadow Force at level 32, Head Smash at level 36, Rock Wrecker at level 39
075 GRAVELER   : Poison Sting at level 1, Rock Polish at level 1, Rock Throw at level 1, AncientPower at level 1, Bone Club at level 4, Power Gem at level 8, Extrasensory at level 11, Dig at level 15, Earth Power at level 18, Bug Buzz at level 22, Bonemerang at level 27, Stone Edge at level 33, Double-Edge at level 38, Rock Wrecker at level 44, Head Smash at level 49
076 GOLEM      : Nature Power at level 1, Rollout at level 1, Mud Sport at level 1, Rock Tomb at level 1, Sandstorm at level 4, Rock Throw at level 8, Mud Shot at level 11, Toxic at level 15, BubbleBeam at level 18, Power Gem at level 22, Rock Slide at level 27, Dig at level 33, Earth Power at level 38, Stone Edge at level 44, Rock Wrecker at level 49
077 PONYTA     : Flame Wheel at level 1, Sludge at level 1, Slash at level 1, Fire Punch at level 1, Lava Plume at level 6, Agility at level 10, Blaze Kick at level 15, Aqua Tail at level 19, Heat Wave at level 24, Egg Bomb at level 28, Magma Storm at level 33, Fire Blast at level 37, Overheat at level 42, Blast Burn at level 46
078 RAPIDASH   : Ember at level 1, Psych Up at level 1, Charge Beam at level 1, Flame Wheel at level 1, Stomp at level 1, Fire Fang at level 1, Slash at level 6, Fire Punch at level 10, Lava Plume at level 15, Blaze Kick at level 19, Flamethrower at level 24, Heat Wave at level 28, Sacred Fire at level 33, Fire Blast at level 37, Magma Storm at level 40, Overheat at level 47, Blast Burn at level 56
079 SLOWPOKE   : Clamp at level 1, Pound at level 1, Comet Punch at level 1, Water Pulse at level 1, BubbleBeam at level 6, Lunar Dance at level 11, Brine at level 15, Psybeam at level 20, Dive at level 25, Zen Headbutt at level 29, Body Slam at level 34, Aqua Tail at level 39, Hydro Pump at level 43, Psycho Boost at level 48, Aqua Ring at level 53, Hydro Cannon at level 57
080 SLOWBRO    : Bubble at level 1, Water Gun at level 1, Twineedle at level 1, Confusion at level 1, Water Pulse at level 6, Brine at level 11, BubbleBeam at level 15, Psybeam at level 20, Luster Purge at level 25, Flail at level 29, Psycho Cut at level 34, Extrasensory at level 37, Dive at level 41, Psychic at level 47, Aqua Tail at level 54, Psycho Boost at level 61, Hydro Cannon at level 67
081 MAGNEMITE  : Sand Tomb at level 1, ThunderShock at level 1, Bullet Punch at level 1, Metal Claw at level 1, Charge Beam at level 6, Thunder Fang at level 11, Metal Sound at level 14, Spark at level 17, Metal Burst at level 22, Steel Wing at level 27, Flash Cannon at level 30, Discharge at level 33, Thunderbolt at level 38, Iron Tail at level 43, Volt Tackle at level 46, Thunder at level 49, Hyper Beam at level 54
082 MAGNETON   : Charge Beam at level 1, Thunder Fang at level 1, Steel Wing at level 1, Flash Cannon at level 1, Discharge at level 1, Iron Head at level 6, Thrash at level 11, Thunderbolt at level 14, Charge at level 17, Meteor Mash at level 22, Thunder at level 27, Foresight at level 30, Moonlight at level 34, Doom Desire at level 40, Fire Blast at level 46, Volt Tackle at level 50, Minimize at level 54, Gyro Ball at level 60
083 FARFETCH’D : Slack Off at level 1, Swallow at level 1, Ice Ball at level 1, Pound at level 1, Air Cutter at level 1, Pluck at level 7, Chatter at level 9, SmellingSalt at level 13, Drill Peck at level 19, Body Slam at level 21, Hyper Voice at level 25, Flamethrower at level 31, Psywave at level 33, Judgment at level 37, Egg Bomb at level 43, Brave Bird at level 45
084 DODUO      : Pluck at level 1, Spit Up at level 1, Wing Attack at level 1, Stomp at level 1, BubbleBeam at level 5, Facade at level 10, Secret Power at level 14, Air Slash at level 19, ExtremeSpeed at level 23, Razor Wind at level 28, Thrash at level 32, Aeroblast at level 37, Brave Bird at level 41, Sky Attack at level 46
085 DODRIO     : Poison Tail at level 1, Air Cutter at level 1, ViceGrip at level 1, Chatter at level 1, Wing Attack at level 1, Pluck at level 5, Secret Power at level 10, Drill Peck at level 14, Flash at level 19, Hyper Fang at level 23, Tri Attack at level 28, Egg Bomb at level 34, Mega Kick at level 41, Brave Bird at level 47, Sky Attack at level 54
086 SEEL       : Aqua Jet at level 1, Force Palm at level 1, Water Pulse at level 1, BubbleBeam at level 1, Horn Attack at level 3, Brine at level 7, Secret Power at level 11, Tri Attack at level 13, Dive at level 17, Withdraw at level 21, Crabhammer at level 23, Aqua Tail at level 27, Dragon Rush at level 31, Double-Edge at level 33, Hydro Pump at level 37, Hydro Cannon at level 41, Giga Impact at level 43, Rain Dance at level 47, Water Spout at level 51
087 DEWGONG    : Aqua Ring at level 1, Whirlpool at level 1, Rapid Spin at level 1, Bubble at level 1, Pay Day at level 3, Needle Arm at level 7, Water Pulse at level 11, Avalanche at level 13, Brine at level 17, Water Sport at level 21, Rain Dance at level 23, Ice Fang at level 27, Zen Headbutt at level 31, Dive at level 33, Shadow Ball at level 34, Aqua Tail at level 37, Ice Beam at level 41, Heat Wave at level 43, Superpower at level 47, Hydro Cannon at level 51
088 GRIMER     : Poison Gas at level 1, Acid at level 1, Poison Tail at level 1, Poison Fang at level 1, Acid Armor at level 4, Uproar at level 7, Sludge at level 12, Secret Power at level 17, Poison Jab at level 20, Toxic at level 23, SmokeScreen at level 28, Thrash at level 33, Sludge Bomb at level 36, Gastro Acid at level 39, Gunk Shot at level 44, Frenzy Plant at level 49
089 MUK        : Poison Sting at level 1, Poison Gas at level 1, Pay Day at level 1, Poison Fang at level 1, Sludge at level 4, Facade at level 7, Cross Poison at level 12, Dizzy Punch at level 17, ThunderPunch at level 20, Poison Jab at level 23, Razor Wind at level 28, Sludge Bomb at level 33, Power Whip at level 36, Hydro Pump at level 44, Acid Armor at level 54, Gunk Shot at level 65
090 SHELLDER   : Water Pulse at level 1, Brine at level 1, Rain Dance at level 1, Ice Fang at level 1, BubbleBeam at level 4, Dive at level 8, Psychic at level 13, Aqua Tail at level 16, Withdraw at level 20, Skull Bash at level 25, Hydro Pump at level 28, Double-Edge at level 32, Roar of Time at level 37, Hydro Cannon at level 40, Water Spout at level 44, Defense Curl at level 49
091 CLOYSTER   : Water Pulse at level 1, BubbleBeam at level 1, Stomp at level 1, Judgment at level 1, Flare Blitz at level 1, Hydro Pump at level 28, Water Spout at level 40
092 GASTLY     : Acid at level 1, Shadow Sneak at level 1, Night Shade at level 1, Poison Tail at level 1, Destiny Bond at level 5, Poison Fang at level 8, Shadow Punch at level 12, Ominous Wind at level 15, Spite at level 19, Shadow Claw at level 22, Poison Jab at level 26, Shadow Ball at level 29, Egg Bomb at level 33, Charm at level 36, Gunk Shot at level 40, Shadow Force at level 43
093 HAUNTER    : Lick at level 1, Chatter at level 1, Shadow Punch at level 1, Ominous Wind at level 1, Sludge at level 5, Shadow Claw at level 8, Cross Poison at level 12, Spite at level 15, Grudge at level 19, Destiny Bond at level 22, Nightmare at level 25, Shadow Ball at level 28, Dragon Claw at level 33, Thrash at level 39, Earth Power at level 44, Shadow Force at level 50, Gunk Shot at level 55
